#	year	left	match	right	title	topic
586	2004	Not surprisingly , two wizards of the	low-risk	West Coast offense -- Young and Montana -- have the top two figures for a single season .	The N.F.L.'s Passer Rating, Arcane and Misunderstood	Football, Television, Ratings and Rating Systems
587	2004	If there are other alternatives for costly or	low-risk	sites , we have to find other alternatives . '' ''	Drop in Budget Slows Superfund Program	Waste Materials and Disposal, Finances, Budgets and Budgeting, Hazardous and Toxic Substances, Superfund
588	2004	Midwives say such reasoning is faulty , and point to several widely accepted studies showing that babies born after similar	low-risk	pregnancies in comparable settings do as well with midwives as with doctors .	Use of Midwives, a Childbirth Phenomenon, Fades in City	Pregnancy and Obstetrics, Midwives, Insurance, Malpractice, Health Insurance and Managed Care
589	2004	Studies show that midwives provide quality and safe care for	low-risk	pregnancies with extremely successful outcomes .	Poor Countries, Vulnerable Women	Pregnancy and Obstetrics
590	2004	He has added shares of companies that '' are not volatile and wo n't require dynamite returns to make money , '' citing Weight Watchers , the weight control program , as an example of a ''	low-risk	venture . ''	Mutual Funds Report; A Market With Little To Tempt the Wary	Stocks and Bonds, Mutual Funds
591	2004	In the largest study to date , research sponsored by the National Institutes of Health in 1993 found that in 15,000	low-risk	pregnancies , ultrasound detected only 17 percent of fetal structural anomalies before 24 weeks .	C-Sections and the Real Crime	Pregnancy and Obstetrics, Caesarean Section, Ultrasonics, Murders and Attempted Murders, Doctors, Weight, Birth Defects
592	2004	Given the implosion of Rosie magazine and the travails of Martha Stewart Living , it would seem to be an odd time to balance an entire brand on a single individual , but Mr. Pecker said that the company 's understanding of the nuances of the Latin market -LRB- the company publishes Mira , the largest Hispanic newsstand magazine in the United States -RRB- makes publishing and distributing Thalia a	low-risk	venture .	Tabloid King Seeks Makeover From Sassy to Stable	Magazines, Mergers, Acquisitions and Divestitures, Newspapers, Company and Organization Profiles
593	2004	As regulators continue to plumb the conflicts of interest that permeate much of the financial world , Marsh & McLennan 's days of relative anonymity -- not to mention hefty ,	low-risk	profits -- may be over .	Hat Trick: A 3rd Unit Of Marsh Under Fire	Insurance, Stocks and Bonds, Pensions and Retirement Plans, Ethics, Regulation and Deregulation of Industry, Brokers and Brokerage Firms, Securities and Commodities Violations
594	2004	This card makes it possible to turn a high-risk transaction over the phone or computer into a	low-risk	one , '' said Jon Callas , chief technical officer at the PGP Corporation in Palo Alto , Calif. , which develops encryption software used mainly for e-mail .	Want to Charge It? You'll Have to Talk to Your Credit Card	Credit and Money Cards, Computer Chips, Voice Recognition Systems
595	2004	A survey last year of obstetricians and gynecologists indicated that 75 percent continued to recommend yearly Pap tests , even for	low-risk	patients who had three consecutive normal smears .	Pap Wars: Whose Calendar to Believe?	Cancer, Special Sections, Women, Cervix, Pap Test, Tests and Testing
596	2004	Executives at Time Inc. , faced with ever-increasing costs of finding subscribers the conventional way , said they think they have found a relatively low-cost ,	low-risk	strategy to add to their stable of profitable weeklies including People , Time and Sports Illustrated .	Life to Be Reborn (Again), as a Newspaper Supplement	Magazines, Newspapers, Advertising and Marketing
597	2004	Mr. Bamford is highly persuasive in recounting the many ways in which American intelligence agencies failed to adapt to the end of the cold war : they lacked specialists in many key Middle Eastern languages and a sufficient number of analysts to grapple with an avalanche of cyber-age data , and even though Americans like John Walker Lindh had been secretly joining Al Qaeda , operatives appear to have made little effort to penetrate terrorist organizations , preferring the decorous ,	low-risk	tack of trying to recruit foreign embassy officials at cocktail parties .	How Feuds and Failures Affected American Intelligence	Books and Literature, Reviews
598	2004	In addition to being tragedies for the families of the patients , the two deaths have cast a pall over one of the country 's most prestigious hospitals -- a forerunner in research and training and a magnet for well-heeled patients from around the country -- as well as over the business of cosmetic surgery , which has developed a reputation as	low-risk	and almost care-free .	Why Did They Die in Cosmetic Surgery?	Plastic Surgery, Hospitals
599	2004	He writes at length about his awareness that terrorism was a growing threat , but does not grapple with the unintended consequences of his administration 's decisions to pressure Sudan to expel Osama bin Laden in 1996 -LRB- driving the Qaeda leader to Afghanistan , where he was harder to track -RRB- or to launch cruise missile attacks against targets in Sudan and Afghanistan in retaliation for the embassy bombings in 1998 -LRB- an act that some terrorism experts believe fueled terrorists ' conviction that the United States was an ineffectual giant that relied on	low-risk	high technology -RRB- .	A Pastiche of a Presidency, Imitating a Life, in 957 Pages	Books and Literature, Reviews, United States Politics and Government
600	2004	After 10 years , Dr. Silverstein found the patients in the	low-risk	group who had lumpectomy alone had a recurrence rate of 4 percent , a rate so low that radiation would not be indicated , he said .	A Debate on How to Treat Precancerous Breast Disease	Cancer, Breast, Women, Radiation, Doctors, Surgery and Surgeons, Mammography, Tests and Testing, Lymph Glands, Research
601	2004	A national randomized trial is now recruiting women to determine if	low-risk	women can safely forgo radiation therapy .	A Debate on How to Treat Precancerous Breast Disease	Cancer, Breast, Women, Radiation, Doctors, Surgery and Surgeons, Mammography, Tests and Testing, Lymph Glands, Research
602	2004	The agency said the material was in '' a normally	low-risk	wet area of the cabin , '' and that the QM2 had '' a highly efficient sprinkler system . ''	On the Queen Mary 2, Ironing Out the Bugs Involves Bathrooms	Ships and Shipping, Smoke Detectors, Queen Mary 2 (Ship), Bathrooms and Toilets
603	2004	The doctor had just finished telling me I was going to have a	low-risk	pregnancy .	When One Is Enough	Pregnancy and Obstetrics, Multiple Births
604	2004	This approach relieves overall maternal anxiety , because the overwhelming majority of tested pregnancies give a	low-risk	result .	Prenatal Tests: More Information, Less Risk	Pregnancy and Obstetrics, Birth Defects, Amniocentesis, Chorionic Villus Sampling, Tests and Testing, Down Syndrome, Research, Genetics and Heredity, Age, Chronological, Finances, Blood, Mental Retardation
605	2004	Confronted by an advertising recovery that seems to be skipping magazines and by marketers who are demanding ever more direct access to their readership , publishers see shopping magazines as a	low-risk	, cheaper alternative to investing in less product-oriented titles .	Publish Till You Drop	Magazines, Advertising and Marketing
606	2004	Magazines Offer All Products , All the Time Confronted by an advertising recovery that seems to be skipping the magazine sector and by marketers who are demanding ever more direct access to their readership , publishers are introducing shopping magazines as	low-risk	, cheaper alternatives to traditional aspirational publications . ''	INSIDE	NO INDEX TERMS FROM NYTIMES
607	2004	The number of patients who died after being operated on by the new surgeons dropped throughout the study , to 1.2 in the fourth year , from 2.2 percent in the first , mainly from a decline in deaths among	low-risk	patients .	In the Hands of Young Surgeons	Heart, Research, Surgery and Surgeons, Doctors
608	2004	Officials in Massachusetts , Michigan and Washington are threatening doctors and nurses with fines and even jail if they give shots to healthy	low-risk	people .	Tainted Vaccine Is Unsalvageable, F.D.A. Says	_
609	2004	Short ,	low-risk	passes are de rigueur in Coach Tom Coughlin 's offense .	Warner Adjusts, and Giants Reap the Benefits	_
610	2004	They expect the Patriots to dare the Jets to win with the deep passing game -LRB- with Ty Law likely covering Santana Moss -RRB- and with the passes to the sidelines , while taking away what the Jets do best -- running the ball , and completing the high-percentage ,	low-risk	passes over the middle .	No Letup by Patriots After Pennington's Long Day	_
611	2004	A second kind of relatively	low-risk	lawsuit would seek clarification of ambiguous language .	Caution in Court for Gay Rights Groups	Marriages, Homosexuality, States (US), Constitutional Amendments, Suits and Litigation, Freedom and Human Rights
612	2004	The new unit , Universal Music Enterprises Digital , could become a model for labels that are seeking a	low-risk	way to market an act without producing a physical album or underwriting a band 's tour or music videos .	Music Industry Is Trying Out New Releases As Digital Only	Music, Computers and the Internet, Recordings (Video)
613	2004	The preferred strategy seems to be to hope for the best and offer such	low-risk	gestures as forgiving bad Iraqi debt that would surely never be repaid anyway .	Still Worlds Apart on Iraq	Editorials, United States International Relations, United States Armament and Defense, Terrorism
614	2004	Only 6.8 percent of the women rated by the test to be in the	low-risk	group suffered a recurrence outside the breast within 10 years , compared with 14.3 percent in the intermediate group and 30.5 percent in the high-risk group .	Data Mounts on Avoiding Breast-Cancer Chemotherapy	Cancer, Breast, Genetics and Heredity, Drugs (Pharmaceuticals), Tests and Testing, Chemotherapy
615	2004	But in the	low-risk	group , both those who got chemotherapy and tamoxifen and those who got tamoxifen alone had a recurrence rate of roughly 5 percent .	Data Mounts on Avoiding Breast-Cancer Chemotherapy	Cancer, Breast, Genetics and Heredity, Drugs (Pharmaceuticals), Tests and Testing, Chemotherapy
616	2004	TYPES OF INVESTMENTS -- Almost all advocates of private accounts would strictly limit the investment choices to a specified	low-risk	mix of stock-index funds and bonds .	The Nation; Do-It-Yourself Social Security: Many Blanks Left to Fill In	Social Security (US)
617	2004	Many hedge funds claim that they do a kind of	low-risk	trading known as arbitrage -- exploiting small price differences between similar types of securities .	Road Rules for Hedge Funds	Stocks and Bonds, Regulation and Deregulation of Industry, Hedge Funds
618	2004	For Jamestown , one of the losers in last year 's bidding war for the G.M. Building , the deal with Macklowe offered an opportunity to make a relatively	low-risk	investment in a well-known building .	COMMERCIAL REAL ESTATE: REGIONAL MARKET -- Manhattan; A Record Deal Now Looks Like a Good One, Too	Office Buildings and Commercial Properties, General Motors Building (NYC), Prices (Fares, Fees and Rates), Records and Achievements, Mergers, Acquisitions and Divestitures
619	2005	The book encourages informational interviews , which help job hunters learn about occupations and workplaces and provide employers a	low-risk	way of getting to know potential hires . ''	The Book of Jobs	Books and Literature
620	2005	He insists that there is no research to suggest that a cholesterol-lowering drug will help	low-risk	people like him .	Drug Industry's Longtime Critic Says 'I Told You So	Medicine and Health, Consumer Protection, Regulation and Deregulation of Industry, Drugs (Pharmaceuticals)
621	2005	A half-century ago , pension funds generally invested as safely as they could ; nearly all their money was in	low-risk	bonds and bond-backed instruments .	The Nation; Pension Funds Think Twice About Stocks	Stocks and Bonds, Pensions and Retirement Plans, Social Security (US), Privatization
622	2005	It is viewed as a triumph for NBC when its	low-risk	regimen has higher ratings than those on other networks that are paying rights fees .	When It Comes to Sports on Television, NBC Favors a Smaller Ball	Athletics and Sports, Television, Finances
623	2005	Mr. Clinton will undergo general anesthesia for what his doctors said is a	low-risk	procedure .	A Rare Complication, a Low-Risk Operation	Heart, Surgery and Surgeons, Biographical Information
624	2005	The apparent mispricing created a	low-risk	arbitrage opportunity .	Economic Scene; Five years after the Nasdaq peaked, one answer to the question of what happened.	Stocks and Bonds, Short Selling, Nasdaq Composite Index
625	2005	Robert J. Shiller , the Yale economist and author of '' Irrational Exuberance , '' an examination of the 1990 's boom , said that for this generation , the investment options Mr. Bush 's plan will probably offer --	low-risk	bonds and stock-index funds -- are '' pretty dull , '' especially compared to the freedom people have when they invest online or with their 401 -LRB- k -RRB- plans .	Ideas  Trends: Selling Social Security; How to Get Young People to Care About Old Age	Social Security (US), Children and Youth, Privatization
626	2005	The Senate Homeland Security and Governmental Affairs Committee , which is responsible for developing the financing formula , is heavily tilted toward small ,	low-risk	states like Alaska , Utah and Maine , the home of Susan Collins , the committee chairwoman .	Real Security, or Politics as Usual?	_
627	2005	The divisions in Congress are not along party lines , but between representatives of high-risk and	low-risk	states .	Real Security, or Politics as Usual?	_
628	2005	As for the ports , the federal Homeland Security Department 's inspector general 's office recently criticized the agency for directing much of its $ 517 million in port security money to relatively	low-risk	sites in places like Kentucky and Tennessee , and not giving enough to busy , vulnerable facilities like Port Newark .	Facing the City, Potential Targets Rely on a Patchwork of Security	Terrorism, Security and Warning Systems, Finances, Budgets and Budgeting, Newark Liberty International Airport (NJ)
629	2005	As you noted -LRB- editorial , May 1 -RRB- , the committee 's recent homeland security financing bill is a disappointment because it defends the allocation of resources to	low-risk	states instead of to the areas most at risk .	Antiterrorism Vs. Pork Barrel	_
630	2005	Abnormal tests are further broken down into high-risk and	low-risk	categories .	Clerk's Workload Blamed for Hospital Test Mix-Up	_
631	2005	The study of 3,000	low-risk	, low-income women found that the outcomes were equally safe for mothers and babies regardless of who delivered the baby , but that birthing centers had a greater number of normal vaginal deliveries and administered less epidural anesthesia .	Home Delivery Is Available; Midwives Keep Busy Despite a Decline in Births Outside Hospitals	_
632	2005	On the one hand , the optimist says , we 're on the verge of the era of these	low-risk	products , '' Kenneth Warner of the University of Michigan explained to me . ''	Incendiary Device	_
633	2005	But financial history suggests that by now , long-term rates should have risen as well , allowing investors to lock in respectable ,	low-risk	returns for a decade or more .	When It Comes to Cash, Sooner Looks a Lot Like Later	_
634	2005	The 9/11 commission recommended that antiterrorism funds be allocated solely based on risk , but some members of Congress have been trying to set aside much of the money for	low-risk	areas .	Protections for the United States	Terrorism, Editorials, Security and Warning Systems, Bombs and Explosives, Transit Systems, Buses
635	2005	The Senate voted , disgracefully , to shift homeland security money from high-risk areas to	low-risk	ones -- a step that is likely to mean less money to defend New York and California against terrorism and more for states like Wyoming .	Security Loses; Pork Wins	Terrorism, Editorials, Finances, Budgets and Budgeting, Law and Legislation, Urban Areas, Rural Areas, Security and Warning Systems, Surveys and Series
636	2005	But instead , Ms. Collins formed an alliance with other representatives of small ,	low-risk	states , and came up with a formula that is dangerously skewed in favor of the states that need the money the least .	For Security, Follow the House	_
637	2005	It would do this in part by using substantially lower '' state minimums '' -- money that is guaranteed to small ,	low-risk	states regardless of whether they are in serious danger of being attacked .	For Security, Follow the House	_
638	2005	With costs soaring , there is an increased urgency to find a way of both discriminating between high-risk patients and	low-risk	ones and hold down , or even reduce , the price of a device .	As Their Use Soars, Heart Implants Raise Questions	Heart, Defibrillators, Implants, Surgery and Surgeons, Prices (Fares, Fees and Rates), Health Insurance and Managed Care, Medicare
639	2005	It is financed by Egypt , Israel and the United States , and has historically been a very	low-risk	assignment .	Sinai Blast Hurts 2 Peacekeepers	Bombs and Explosives
640	2005	Investors also reacted to a report that found consumer confidence fell in August for the first time in three months as Americans paid more at the pump and Alan Greenspan , the chairman of the Federal Reserve , warned that the period of	low-risk	premiums that investors have become accustomed to could end . ''	Shares Slip as Investors Fear Oil Prices Will Slow Growth	_
641	2005	And he warned that '' history has not dealt kindly with the aftermath of protracted periods of	low-risk	premiums . ''	Greenspan And The Bubble	Housing, Prices (Fares, Fees and Rates)
642	2005	And the shifts that lacked such expertise also lacked simple , reliable ways to signal the experts on other shifts to move lines from high-risk to	low-risk	locations or to remove them entirely when they returned to work .	The Health Factory	Medicine and Health, Law and Legislation, Hospitals
643	2005	In such a low-cost ,	low-risk	environment , designers too are free to experiment , turning out items that reflect market trends , and a few that inspire them .	Taking Fashion To the Streets	_
644	2005	On the market since early this year , it is the first device to give longtime PC users a	low-risk	way to try that enticing other path .	What Do TiVo and the Mac Mini Have in Common?	_
645	2005	But they can blur the difference between dangerous sexual predators -- who are not likely to be deterred by them -- and moderate or	low-risk	offenders , who are more amenable to treatment and far less likely to commit more crimes , said Dr. Richard Hamill , a forensic psychologist who runs a treatment center in Albany .	Exiling Sex Offenders From Town; Questions About Legality and Effectiveness	_
646	2005	We can sit back and watch as our farm policy is disassembled piece by piece , '' Mr. Johanns said , '' or we can begin a discussion about how to craft farm policy that provides a	low-risk	, meaningful safety net for our farmers and ranchers . ''	Trade Chief Makes Offer To Reduce Crop Subsidies	_
647	2005	My recollection is that the underground parking was considered to be a	low-risk	area , '' he said .	Towers' Security Described As Small Issue in Early Days	_
648	2005	This report rated the underground garage as a	low-risk	terrorist attack area , with a '' vulnerability factor '' of 7 , compared with a rating of 350 for the concourse , where people shopped and walked to work . ''	Jury Is Told Of '85 Report That Warned Trade Center	_
649	2005		Low-risk	HPV 's more often cause genital warts ; they rarely , if ever , result in cancer .	Getting to Know a Virus, and When It Can Kill	_
650	2005	The Senate has a final chance this week to reverse its shocking decision to shift antiterrorist grants away from endangered populated areas , to	low-risk	rural states whose lawmakers want another pork-barrel windfall .	The Homeland Security Dole	Terrorism, Law and Legislation, Finances, Budgets and Budgeting, Editorials, Urban Areas, Rural Areas, Police, Fires and Firefighters
651	2005	It increases grants to police and fire departments and other first responders in areas of highest danger , like New York and California , while lowering , but not ending , the guaranteed minimums to	low-risk	states .	The Homeland Security Dole	Terrorism, Law and Legislation, Finances, Budgets and Budgeting, Editorials, Urban Areas, Rural Areas, Police, Fires and Firefighters
652	2005	Among them , he said , studies of the drug included	low-risk	patients who were unlikely to have serious side effects and excluded other likely users of the drug with high cardiovascular risks , like elderly patients who often have Type 2 diabetes .	Article Says Diabetes Pill Would Increase Coronary Risks	_
653	2005	Inflating residual values might have seemed like a	low-risk	idea during the mid - to late 90 's , when used-car sales were robust .	After the Loss of Some Shirts, Lenders Are Leasing Again	_
654	2005	Because state laws are often soft and there is a lack of federal laws addressing the issue , retail theft has become a high-profit ,	low-risk	avenue of crime , '' Frank Muscato , Wal-Mart 's investigative coordinator , said in recent testimony before Congress .	Hot Off the Shelves; Shoplifting Gangs Are Retailing's Top Enemy	Retail Stores and Trade, Organized Crime, Shoplifting, Gangs, Computers and the Internet, Drugstores
655	2005	Looking at the ''	low-risk	approach we took with the Legacy '' and convinced that the potential for growth in private jets justified a little more risk , '' we 've decided to go into the executive jet market in depth , '' he added .	Air Taxi, Anyone? Business Jets Sell Briskly	Airlines and Airplanes, Corporations, Executives and Management, Trade Shows and Fairs
656	2005	Because name-brand companies like Wal-Mart and General Motors are widely known to be considered	low-risk	, terrorists need only to stake out their shipment routes and exploit the weakest points to introduce a weapon of mass destruction .	Think Inside the Box	Terrorism, Containerization, Security and Warning Systems, Atomic Weapons, Radiation, Trucks and Trucking, Railroads, Ships and Shipping
657	2005	All the other trials that I 'm aware of are really in quite	low-risk	patients , and so they just are n't comparable , '' he said .	Pfizer to Finance $100 Million Safety Study of Celebrex	_
658	2005	The fund represented itself as a	low-risk	'' day trading '' fund , which is similar to how Bayou , the $ 400 million hedge fund that collapsed this summer , characterized itself to investors . ''	S.E.C. Accuses a New Jersey Hedge Fund	_
659	2005	By his reckoning , Diamond 's P.E. is nearer 10 , giving shareholders '' limited downside and a chance to make a pretty decent return in a	low-risk	business . ''	The Popular Isn't Always The Profitable	_
660	2006	Senators from small	low-risk	states , led by Susan Collins , Republican of Maine , scored an unfortunate victory last year when they blocked an amendment , backed by all six senators from New York , California and Texas , that would have distributed more antiterrorism money on the basis of risk .	Risk Wins a Round Over Politics	_
661	2006	When she moved sticklebacks who had always lived in a high-risk environment into a	low-risk	environment , she found that not only did they retain their cautious tendencies , but so did their offspring .	The Animal Self	_
662	2006	Even fish raised from birth in a	low-risk	environment behave more fearfully if raised by a particularly vigilant father from a high-risk background .	The Animal Self	_
663	2006	But '' despite appearing to be a	low-risk	population from a cardiovascular standpoint , '' the researchers wrote , after seven and a half years , about a quarter of the rest were dead -- a rate three times as high as expected . ''	After Crisis, Carbon Monoxide Still Takes a Toll	Heart, Carbon Monoxide, Research, Poisoning and Poisons, Doctors
664	2006	Josh Bernoff , a media analyst at Forrester Research , called the PlanetOut alliance a	low-risk	venture that would allow Bravo to sell niche advertising in a way that could not be done on television . ''	More Broadband for Bravo	_
665	2006	But it is a	low-risk	choice for Chippewa , which can invest in the equipment needed to gather stover if the gasifier works as promised .	Corn Power Put to the Test, as Experts Try to Find a New Recipe to Make It	Oil (Petroleum) and Gasoline, Grain, Ethanol, Finances
666	2006	The Padres ' catching situation was far more dreary : Doug Mirabelli and David Ross were expected to compete for the starting job -- and Piazza represented a	low-risk	, high-reward situation for himself and for San Diego .	Piazza, With No Regrets, Is Eager to Make a Fresh Start	Baseball
667	2006	It is a	low-risk	, low-investment way to help the bottom line , '' he said .	Publishers Find Growth In Comics	_
668	2006	And such a strategy would have been very	low-risk	, because it involved no bets on the direction of the overall market .	Blame the Fund Manager, or the Face in the Mirror?	Stocks and Bonds, Mutual Funds
669	2006	The big players will survive as a slightly overpriced option for	low-risk	, low-return hedge fund investing .	Losing Investors, but Attracting Buyers	Stocks and Bonds, Hedge Funds, Mergers, Acquisitions and Divestitures
670	2006	Some investment advisers say A.M.D. is the better holding over the long run , but others are standing by Intel in the belief that it has become a cheap ,	low-risk	choice .	Challenger Pulls Ahead Of Chip Giant	Computers and the Internet, Computer Chips, Stocks and Bonds
671	2006	If the Biovail lawsuit can show that hedge funds are persuading analysts to come to predetermined conclusions and then asking that the reports be held so they can make	low-risk	bets that stocks will fall on the negative news , then the case will open another ugly chapter of corruption and greed on Wall Street .	True or False: A Hedge Fund Plotted to Hurt A Drug Maker?	Stocks and Bonds, Racketeering and Racketeers, Ethics, Suits and Litigation, Hedge Funds, Medicine and Health, Drugs (Pharmaceuticals), Research, Securities and Commodities Violations
672	2006	Planned home birth with a skilled midwife in attendance has been shown many times over to be a safe and reasonable option for	low-risk	women -LRB- see the study published in 2005 in The British Medical Journal -RRB- .	Delivering Babies, And Keeping It Safe	Pregnancy and Obstetrics, Midwives
673	2006	But chemotherapy did not help women in the	low-risk	group : their recurrence rate was about 5 percent , with or without the drugs .	A Crystal Ball Submerged In a Test Tube; Genetic Technology Reshapes The Diagnostics Business	_
674	2006	With no allies among either the Democrats or the Republicans on the Federal Communications Commission nor any significant ones in Congress , the four broadcast networks , joined by the Hearst-Argyle Television group of stations , embarked late last week on a	low-risk	strategy of turning to the courts .	TV Networks, With Few Friends in Power, Sue to Challenge F.C.C.'s Indecency Penalties	_
675	2006	Of those with early-stage liver disease , patients with a high-risk gene pattern had about a sixfold chance of developing cirrhosis compared with those with	low-risk	gene patterns .	Genetic Test To Give Clues On Treatment Of Hepatitis C	Hepatitis, Liver, Genetics and Heredity, Cirrhosis, Cancer
676	2006	Others , like Dr. Francisco J. Esteva of M. D. Anderson , use a computer program to calculate a woman 's risks of recurrence and give the option of no chemotherapy only to women with	low-risk	cancers confined to their breasts . ''	Shift in Treating Breast Cancer Is Under Debate	_
677	2006	And when one considers the deaths that can be prevented through a	low-risk	, simple procedure that even a child can perform , it seems fairly obvious that New York 's Good Samaritan law should include epinephrine shots among the family of life-saving devices it protects .	A Shot in Time	Allergies, Food, Anaphylactic Shock, Epinephrine (Drug), Law and Legislation, Good Samaritans
678	2006	And when one considers the deaths that can be prevented through a	low-risk	, simple procedure that even a child can perform , it seems fairly obvious that New York 's Good Samaritan law should include epinephrine shots among the family of life-saving devices it protects .	A Shot in Time	Allergies, Law and Legislation, Anaphylactic Shock, Epinephrine (Drug), Good Samaritans, Food
679	2006	And when one considers the deaths that can be prevented through a	low-risk	, simple procedure that even a child can perform , it seems fairly obvious that New York 's Good Samaritan law should include epinephrine shots among the family of life-saving devices it protects .	A Shot in Time	Allergies, Food, Law and Legislation, Good Samaritans, Epinephrine (Drug), Anaphylactic Shock
680	2006	On the par-5 12th , Matheson talked Ogilvy into laying up because the pin location made going for the green in two a	low-risk	play .	Finish Feels All Too Familiar for Montgomerie	_
681	2006	That is why we should focus on the in-close areas and not disperse emergency responders to	low-risk	areas .	Measuring Risk at Indian Point	Electric Light and Power, Accidents and Safety, Atomic Energy, Terrorism, Indian Point Nuclear Power Plant (NY)
682	2006	VITAL SIGNS : RISKS AND REMEDIES The study followed 137 healthy women with	low-risk	, normal pregnancies who dealt with normal stresses like those of work and family . ''	Diabetes Prevention In a Fresh, Hot Cuppa Joe?	_
683	2006	The exam lasts about a week for high-risk funds and a day for	low-risk	funds . ''	Lessons From the British Way of Policing Hedge Funds	_
684	2006	Cashman has made only	low-risk	moves this month , acquiring Guiel and a backup catcher , Sal Fasano .	Extent of Yanks' Moves May Be Shuffling Lineup	_
685	2006	Gerard Brown , the owner of an insurance agency in Lindenhurst , on Long Island , said that FEMA caps coverage in both high - and	low-risk	flood zones at $ 250,000 for a house and $ 100,000 for its contents .	Flood Insurance Often Insufficient	Floods, Prices (Fares, Fees and Rates), Insurance, Hurricanes and Tropical Storms
686	2006	Gerard Brown , the owner of an insurance agency in Lindenhurst , on Long Island , said that FEMA caps coverage in both high - and	low-risk	flood zones at $ 250,000 for a house and $ 100,000 for its contents .	Flood Insurance Often Insufficient	Floods, Prices (Fares, Fees and Rates), Insurance, Hurricanes and Tropical Storms
687	2006	Gerard Brown , the owner of an insurance agency in Lindenhurst , on Long Island , said that FEMA caps coverage in both high - and	low-risk	flood zones at $ 250,000 for a house and $ 100,000 for its contents .	Flood Insurance Often Insufficient	Floods, Prices (Fares, Fees and Rates), Insurance, Hurricanes and Tropical Storms
688	2006	Gerard Brown , the owner of an insurance agency in Lindenhurst , on Long Island , said that FEMA caps coverage in both high - and	low-risk	flood zones at $ 250,000 for a house and $ 100,000 for its contents .	Flood Insurance Often Insufficient	Floods, Prices (Fares, Fees and Rates), Insurance, Hurricanes and Tropical Storms
689	2006	Hiring illegal immigrants '' has been a	low-risk	, high-reward enterprise , '' said Brian M. Moskowitz , the agency 's special agent in charge for Ohio and Michigan . ''	U.S. Puts Onus On Employers Of Immigrants	_
690	2006	Buildings in	low-risk	zones can also be insured , at reduced premiums , against flood damages .	Misconceptions About Flood Insurance	_
691	2006	Buildings in	low-risk	zones can also be insured , at reduced premiums , against flood damages .	Misconceptions About Flood Insurance	Weather, Floods, Insurance
692	2006	Buildings in	low-risk	zones can also be insured , at reduced premiums , against flood damages .	Misconceptions About Flood Insurance	_
693	2006	Now a team of researchers propose what they say is a limitless ,	low-risk	repository for carbon dioxide : seafloor sediments at depths and temperatures that would guarantee it would stay denser than the water above , and thus be permanently locked away . ''	Team Looks At Seafloor As Gas Trap	_
694	2006	Researchers have found that the neonatal mortality rate for Caesarean delivery among	low-risk	women is 1.77 deaths per 1,000 live births , while the rate for vaginal delivery is 0.62 deaths per 1,000 .	Voluntary C-Sections Result in More Baby Deaths	_
695	2006	This study , according to the authors , is the first to examine the risk of Caesarean delivery among	low-risk	mothers who have no known medical reason for the operation .	Voluntary C-Sections Result in More Baby Deaths	_
696	2006	Neonatal deaths are rare for	low-risk	women -- on the order of about one death per 1,000 live births -- but even after we adjusted for socioeconomic and medical risk factors , the difference persisted , '' said Marian F. MacDorman , a statistician with the Centers for Disease Control and Prevention and the lead author of the study . ''	Voluntary C-Sections Result in More Baby Deaths	_
697	2006	There were 311,927 Caesarean deliveries among	low-risk	women in the analysis .	Voluntary C-Sections Result in More Baby Deaths	_
698	2006	Ian Greenwood , who is identified as the head of the agency 's '' Falls From Height Program , '' is quoted as saying that ladders can indeed be used , as long as the '' task is	low-risk	and of short duration , '' and all safer , non-ladder alternatives have been ruled out .	Even Safety Czar Thinks British Are Too Risk-Averse	Social Conditions and Trends, Bureaucratic Red Tape, Labor, Industrial and Occupational Hazards, Suits and Litigation, Law and Legislation, Regulation and Deregulation of Industry, Accidents and Safety
699	2006	For R.I.M. , based in Waterloo , Ontario , reversing the carriers ' disappointment is a	low-risk	proposition .	BlackBerry Adds Diversions, Counting on Sales	_
700	2006	That review , she said , suggested that SmartFresh '' is likely to be very	low-risk	to consumers . ''	Puff, the Magic Preservative: Lasting Crunch, if a Bit Less Scent	_
701	2006	Sponsoring free skiers is a relatively	low-risk	proposition -LRB- except for the skier -RRB- .	HERR MATESCHITZ WANTS TO JUICE YOU UP	_
702	2006	The strategy , she said , was a	low-risk	approach to a high-risk endeavor . ''	How to Moonlight As an Entrepreneur	_
703	2006	That record made it possible for Mrs. Rell , who is 60 and a resident of Brookfield , to hew to what some critics called a	low-risk	'' Rose Garden '' strategy for much of the campaign .	Winning Easily After Finishing Rowland's Term, Rell Wins 4 Years of Her Own in Connecticut	Elections, Election Results, Governors (US)
704	2006	The zone extends 2,500 feet for the moderate-risk group and 1,000 feet for	low-risk	offenders .	Zoning Laws That Bar Pedophiles Raise Concerns for Law Enforcers	Sex Crimes, Surveys and Series, Children and Youth, Law and Legislation, Referendums
705	2006	Minaya bristled at the comparison with Julio , another	low-risk	, high-reward reliever , equating Burgos more to Duaner Sánchez .	Mets Add to Bullpen and Set Sights on Harden	_
706	2006	Minaya bristled at the comparison with Julio , another	low-risk	, high-reward reliever , equating Burgos more to Duaner Sánchez .	Mets Add Reliever and Pursue Harden	_
707	2007	It 's the perfect crime , both	low-risk	and high-profit , '' said Gadi Evron , a computer security researcher for an Israeli-based firm , Beyond Security , who coordinates an international volunteer effort to fight botnets . ''	Attack of the Zombie Computers Is a Growing Threat, Experts Say	Spamming; Computer security; Personal computers; Computer networks; Internet crime
